operator,case_id,input_shape,dtype,attrs,value_range,note
WeightQuantBatchMatmul,1,"[[1, 2048], [2048, 2048], [2048], [2048], [2048]]","[""float16"", ""int8"", ""float16"", ""float16"", ""float16""]",{},"[[-1, 1], [-128, 127], [0.001, 0.1], [-0.1, 0.1], [-0.1, 0.1]]",M=1-K=2048-N=2048-fp16-2k*2k-attnO-基线
WeightQuantBatchMatmul,2,"[[4, 2048], [2048, 4096], [4096], [4096], [4096]]","[""bfloat16"", ""int8"", ""bfloat16"", ""bfloat16"", ""float32""]",{},"[[-1, 1], [-128, 127], [0.001, 0.1], [-0.1, 0.1], [-0.1, 0.1]]",M=4-K=2048-N=4096-bf16-小模型-FFN-up
WeightQuantBatchMatmul,3,"[[8, 4096], [4096, 2048], [2048]]","[""float16"", ""int8"", ""float16""]",{},"[[-1, 1], [-128, 127], [0.001, 0.1]]",M=8-K=4096-N=2048-fp16-小模型-FFN-down-无offset无bias
WeightQuantBatchMatmul,4,"[[1, 2048], [2048, 1408], [1408], [1408]]","[""float16"", ""int8"", ""float16"", ""float16""]",{},"[[-1, 1], [-128, 127], [0.001, 0.1], [-0.1, 0.1]]",M=1-K=2048-N=1408-fp16-Qwen1.5-MoE-A2.7B-routed-expert-有offset无bias
WeightQuantBatchMatmul,5,"[[2, 5120], [5120, 1536], [1536], [1536], [1536]]","[""bfloat16"", ""int8"", ""bfloat16"", ""bfloat16"", ""float32""]",{},"[[-1, 1], [-128, 127], [0.001, 0.1], [-0.1, 0.1], [-0.1, 0.1]]",M=2-K=5120-N=1536-bf16-DeepSeek-V2-routed-expert
WeightQuantBatchMatmul,6,"[[4, 7168], [7168, 2048], [2048], [2048], [2048]]","[""float16"", ""int8"", ""float16"", ""float16"", ""float16""]",{},"[[-1, 1], [-128, 127], [0.001, 0.1], [-0.1, 0.1], [-0.1, 0.1]]",M=4-K=7168-N=2048-fp16-DeepSeek-V3-routed-expert
WeightQuantBatchMatmul,7,"[[8, 4096], [4096, 6400], [6400], null, [6400]]","[""bfloat16"", ""int8"", ""bfloat16"", null, ""float32""]",{},"[[-1, 1], [-128, 127], [0.001, 0.1], null, [-0.1, 0.1]]",M=8-K=4096-N=6400-bf16-Phi-3.5-MoE-expert-无offset有bias
WeightQuantBatchMatmul,8,"[[1, 4096], [4096, 4096], [4096], [4096], [4096]]","[""float16"", ""int8"", ""float16"", ""float16"", ""float16""]",{},"[[-1, 1], [-128, 127], [0.001, 0.1], [-0.1, 0.1], [-0.1, 0.1]]",M=1-K=4096-N=4096-fp16-LLaMA-7B-attnO-single-decode
WeightQuantBatchMatmul,9,"[[2, 4096], [4096, 12288], [12288], [12288], [12288]]","[""bfloat16"", ""int8"", ""bfloat16"", ""bfloat16"", ""float32""]",{},"[[-1, 1], [-128, 127], [0.001, 0.1], [-0.1, 0.1], [-0.1, 0.1]]",M=2-K=4096-N=12288-bf16-LLaMA-7B-QKV-MHA
WeightQuantBatchMatmul,10,"[[4, 4096], [4096, 6144], [6144], [6144]]","[""float16"", ""int8"", ""float16"", ""float16""]",{},"[[-1, 1], [-128, 127], [0.001, 0.1], [-0.1, 0.1]]",M=4-K=4096-N=6144-fp16-LLaMA3-8B-GQA-QKV-有offset无bias
WeightQuantBatchMatmul,11,"[[8, 3584], [3584, 4608], [4608], [4608], [4608]]","[""bfloat16"", ""int8"", ""bfloat16"", ""bfloat16"", ""float32""]",{},"[[-1, 1], [-128, 127], [0.001, 0.1], [-0.1, 0.1], [-0.1, 0.1]]",M=8-K=3584-N=4608-bf16-Qwen2-7B-GQA-QKV
WeightQuantBatchMatmul,12,"[[16, 4096], [4096, 11008], [11008], [11008]]","[""float16"", ""int8"", ""float16"", ""float16""]",{},"[[-1, 1], [-128, 127], [0.001, 0.1], [-0.1, 0.1]]",M=16-K=4096-N=11008-fp16-LLaMA-7B-FFN-gate-up-有offset无bias
WeightQuantBatchMatmul,13,"[[32, 11008], [11008, 4096], [4096], [4096], [4096]]","[""bfloat16"", ""int8"", ""bfloat16"", ""bfloat16"", ""float32""]",{},"[[-1, 1], [-128, 127], [0.001, 0.1], [-0.1, 0.1], [-0.1, 0.1]]",M=32-K=11008-N=4096-bf16-LLaMA-7B-FFN-down
WeightQuantBatchMatmul,14,"[[64, 4096], [4096, 14336], [14336]]","[""float16"", ""int8"", ""float16""]",{},"[[-1, 1], [-128, 127], [0.001, 0.1]]",M=64-K=4096-N=14336-fp16-Qwen2-7B-FFN-gate-无offset无bias
WeightQuantBatchMatmul,15,"[[96, 5120], [5120, 13824], [13824], null, [13824]]","[""bfloat16"", ""int8"", ""bfloat16"", null, ""float32""]",{},"[[-1, 1], [-128, 127], [0.001, 0.1], null, [-0.1, 0.1]]",M=96-K=5120-N=13824-bf16-LLaMA-13B-FFN-gate-up-无offset有bias
WeightQuantBatchMatmul,16,"[[128, 5120], [5120, 5120], [5120], [5120], [5120]]","[""float16"", ""int8"", ""float16"", ""float16"", ""float16""]",{},"[[-1, 1], [-128, 127], [0.001, 0.1], [-0.1, 0.1], [-0.1, 0.1]]",M=128-K=5120-N=5120-fp16-LLaMA-13B-attnO-decode-边界
WeightQuantBatchMatmul,17,"[[64, 14336], [14336, 4096], [4096], [4096]]","[""bfloat16"", ""int8"", ""bfloat16"", ""bfloat16""]",{},"[[-1, 1], [-128, 127], [0.001, 0.1], [-0.1, 0.1]]",M=64-K=14336-N=4096-bf16-Qwen2-7B-FFN-down-有offset无bias
WeightQuantBatchMatmul,18,"[[1, 8192], [8192, 8192], [8192], [8192], [8192]]","[""bfloat16"", ""int8"", ""bfloat16"", ""bfloat16"", ""float32""]",{},"[[-1, 1], [-128, 127], [0.001, 0.1], [-0.1, 0.1], [-0.1, 0.1]]",M=1-K=8192-N=8192-bf16-LLaMA-70B-attnO-single-decode
WeightQuantBatchMatmul,19,"[[8, 8192], [8192, 10240], [10240], [10240]]","[""float16"", ""int8"", ""float16"", ""float16""]",{},"[[-1, 1], [-128, 127], [0.001, 0.1], [-0.1, 0.1]]",M=8-K=8192-N=10240-fp16-LLaMA-70B-GQA-QKV-有offset无bias
WeightQuantBatchMatmul,20,"[[32, 28672], [28672, 8192], [8192], [8192], [8192]]","[""bfloat16"", ""int8"", ""bfloat16"", ""bfloat16"", ""float32""]",{},"[[-1, 1], [-128, 127], [0.001, 0.1], [-0.1, 0.1], [-0.1, 0.1]]",M=32-K=28672-N=8192-bf16-LLaMA-70B-FFN-down-最大K
