operator,case_id,input_shape,dtype,attrs,value_range,note
MLA,1,"[[2, 128, 128, 512], [2, 128, 128, 64], [2, 128, 1, 512], [2, 128, 1, 64], [2, 128, 1, 512]]","[""float16"", ""float16"", ""float16"", ""float16"", ""float16""]","{""numKVHeads"": 1, ""scaleValue"": -1.0, ""inputLayout"": ""BSND"", ""is_causal"": true}","[-1, 1]",M-float16-BSND-B2S128Nq128Nkv1-dnope512drope64-prefill-causal | baseline_kernels: FusedInferAttentionScore×1
MLA,2,"[[4, 256, 128, 512], [4, 256, 128, 64], [4, 256, 1, 512], [4, 256, 1, 64], [4, 256, 1, 512]]","[""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16""]","{""numKVHeads"": 1, ""scaleValue"": -1.0, ""inputLayout"": ""BSND"", ""is_causal"": true}","[-1, 1]",L-bfloat16-BSND-B4S256Nq128Nkv1-dnope512drope64-prefill-causal | baseline_kernels: FusedInferAttentionScore×1
MLA,3,"[[2, 128, 64, 448], [2, 128, 64, 64], [2, 128, 1, 448], [2, 128, 1, 64], [2, 128, 1, 448]]","[""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16""]","{""numKVHeads"": 1, ""scaleValue"": -1.0, ""inputLayout"": ""BSND"", ""is_causal"": true}","[-1, 1]",M-bfloat16-BSND-B2S128Nq64Nkv1-dnope448drope64-causal
MLA,4,"[[2, 256, 128, 512], [2, 256, 128, 64], [2, 128, 1, 512], [2, 128, 1, 64], [2, 128, 1, 512]]","[""float16"", ""float16"", ""float16"", ""float16"", ""float16""]","{""numKVHeads"": 1, ""scaleValue"": -1.0, ""inputLayout"": ""BSND"", ""is_causal"": false}","[-1, 1]",M-float16-BSND-B2Sq256Skv128Nq128-dnope512-cross | baseline_kernels: FusedInferAttentionScore×1
MLA,5,"[[2, 256, 128, 512], [2, 256, 128, 64], [2, 256, 1, 512], [2, 256, 1, 64], [2, 256, 1, 512]]","[""float16"", ""float16"", ""float16"", ""float16"", ""float16""]","{""numKVHeads"": 1, ""scaleValue"": -1.0, ""inputLayout"": ""BSND"", ""is_causal"": true}","[-1, 1]",L-float16-BSND-B2S256Nq128-dnope512-long-prefill-causal | baseline_kernels: FusedInferAttentionScore×1
MLA,6,"[[2, 256, 128, 448], [2, 256, 128, 64], [2, 256, 1, 448], [2, 256, 1, 64], [2, 256, 1, 448]]","[""float16"", ""float16"", ""float16"", ""float16"", ""float16""]","{""numKVHeads"": 1, ""scaleValue"": -1.0, ""inputLayout"": ""BSND"", ""is_causal"": false}","[-1, 1]",L-float16-BSND-B2S256Nq128-dnope448-long-prefill
MLA,7,"[[1, 1, 128, 512], [1, 1, 128, 64], [1, 2048, 1, 512], [1, 2048, 1, 64], [1, 2048, 1, 512]]","[""float16"", ""float16"", ""float16"", ""float16"", ""float16""]","{""numKVHeads"": 1, ""scaleValue"": -1.0, ""inputLayout"": ""BSND"", ""is_causal"": false}","[-1, 1]",S-float16-BSND-B1S1Skv2048Nq128-decode-single-batch | baseline_kernels: FusedInferAttentionScore×1
MLA,8,"[[16, 1, 128, 512], [16, 1, 128, 64], [16, 2048, 1, 512], [16, 2048, 1, 64], [16, 2048, 1, 512]]","[""float16"", ""float16"", ""float16"", ""float16"", ""float16""]","{""numKVHeads"": 1, ""scaleValue"": -1.0, ""inputLayout"": ""BSND"", ""is_causal"": false}","[-1, 1]",M-float16-BSND-B16S1Skv2048Nq128-decode | baseline_kernels: FusedInferAttentionScore×1
MLA,9,"[[32, 1, 128, 512], [32, 1, 128, 64], [32, 2048, 1, 512], [32, 2048, 1, 64], [32, 2048, 1, 512]]","[""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16""]","{""numKVHeads"": 1, ""scaleValue"": -1.0, ""inputLayout"": ""BSND"", ""is_causal"": false}","[-1, 1]",L-bfloat16-BSND-B32S1Skv2048Nq128-decode | baseline_kernels: FusedInferAttentionScore×1
MLA,10,"[[60, 1, 128, 512], [60, 1, 128, 64], [60, 2048, 1, 512], [60, 2048, 1, 64], [60, 2048, 1, 512]]","[""float16"", ""float16"", ""float16"", ""float16"", ""float16""]","{""numKVHeads"": 1, ""scaleValue"": -1.0, ""inputLayout"": ""BSND"", ""is_causal"": false}","[-1, 1]",L-float16-BSND-B60S1Skv2048Nq128-dnope512-decode-large-batch | baseline_kernels: FusedInferAttentionScore×1
MLA,11,"[[128, 1, 128, 512], [128, 1, 128, 64], [128, 1024, 1, 512], [128, 1024, 1, 64], [128, 1024, 1, 512]]","[""float16"", ""float16"", ""float16"", ""float16"", ""float16""]","{""numKVHeads"": 1, ""scaleValue"": -1.0, ""inputLayout"": ""BSND"", ""is_causal"": false}","[-1, 1]",L-float16-BSND-B128S1Skv4096Nq128-dnope512-decode-large-batch | baseline_kernels: FusedInferAttentionScore×1
MLA,12,"[[60, 1, 64, 512], [60, 1, 64, 64], [60, 2048, 1, 512], [60, 2048, 1, 64], [60, 2048, 1, 512]]","[""float16"", ""float16"", ""float16"", ""float16"", ""float16""]","{""numKVHeads"": 1, ""scaleValue"": -1.0, ""inputLayout"": ""BSND"", ""is_causal"": false}","[-1, 1]",L-float16-BSND-B60S1Skv2048Nq64-dnope512-decode-large-batch | baseline_kernels: FusedInferAttentionScore×1
MLA,13,"[[2, 128, 128, 512], [2, 128, 128, 64], [2, 1, 128, 512], [2, 1, 128, 64], [2, 1, 128, 512]]","[""float16"", ""float16"", ""float16"", ""float16"", ""float16""]","{""numKVHeads"": 1, ""scaleValue"": -1.0, ""inputLayout"": ""BNSD"", ""is_causal"": true}","[-1, 1]",M-float16-BNSD-B2Nq128S128-dnope512drope64-prefill-causal | baseline_kernels: FusedInferAttentionScore×1
MLA,14,"[[2, 128, 128, 448], [2, 128, 128, 64], [2, 1, 128, 448], [2, 1, 128, 64], [2, 1, 128, 448]]","[""float16"", ""float16"", ""float16"", ""float16"", ""float16""]","{""numKVHeads"": 1, ""scaleValue"": -1.0, ""inputLayout"": ""BNSD"", ""is_causal"": true}","[-1, 1]",M-float16-BNSD-B2Nq128S128-dnope448drope64-prefill-causal
MLA,15,"[[2, 128, 512, 512], [2, 128, 512, 64], [2, 1, 512, 512], [2, 1, 512, 64], [2, 1, 512, 512]]","[""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16""]","{""numKVHeads"": 1, ""scaleValue"": -1.0, ""inputLayout"": ""BNSD"", ""is_causal"": true}","[-1, 1]",L-bfloat16-BNSD-B2Nq128S512-dnope512-long-prefill-causal | baseline_kernels: FusedInferAttentionScore×1
MLA,16,"[[60, 128, 1, 512], [60, 128, 1, 64], [60, 1, 2048, 512], [60, 1, 2048, 64], [60, 1, 2048, 512]]","[""float16"", ""float16"", ""float16"", ""float16"", ""float16""]","{""numKVHeads"": 1, ""scaleValue"": -1.0, ""inputLayout"": ""BNSD"", ""is_causal"": false}","[-1, 1]",L-float16-BNSD-B60Nq128S1Skv2048-decode-large-batch | baseline_kernels: FusedInferAttentionScore×1
MLA,17,"[[16, 2, 128, 512], [16, 2, 128, 64], [16, 2048, 1, 512], [16, 2048, 1, 64], [16, 2048, 1, 512]]","[""float16"", ""float16"", ""float16"", ""float16"", ""float16""]","{""numKVHeads"": 1, ""scaleValue"": -1.0, ""inputLayout"": ""BSND"", ""is_causal"": true}","[-1, 1]",L-float16-BSND-B16Sq2Skv2048Nq128-dnope512-MTP-causal | baseline_kernels: FusedInferAttentionScore×1
MLA,18,"[[96, 2, 128, 512], [96, 2, 128, 64], [96, 2048, 1, 512], [96, 2048, 1, 64], [96, 2048, 1, 512]]","[""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16""]","{""numKVHeads"": 1, ""scaleValue"": -1.0, ""inputLayout"": ""BSND"", ""is_causal"": true}","[-1, 1]",L-bfloat16-BSND-B96Sq2Skv4096Nq128-dnope512-MTP-large-batch-causal | baseline_kernels: FusedInferAttentionScore×1
MLA,19,"[[16, 128, 2, 512], [16, 128, 2, 64], [16, 1, 2048, 512], [16, 1, 2048, 64], [16, 1, 2048, 512]]","[""float16"", ""float16"", ""float16"", ""float16"", ""float16""]","{""numKVHeads"": 1, ""scaleValue"": -1.0, ""inputLayout"": ""BNSD"", ""is_causal"": false}","[-1, 1]",L-float16-BNSD-B16Nq128Sq2Skv2048-dnope512-MTP | baseline_kernels: FusedInferAttentionScore×1
